,Id,Name,tagline,first_brewed,description,image_url,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume_value,volume_unit,boil_volume_value,boil_volume_unit,brewers_tips,contributed_by,method_mash_temp_0_temp_value,method_mash_temp_0_temp_unit,method_mash_temp_0_duration,method_fermentation_temp_value,method_fermentation_temp_unit,method_twist,method_mash_temp_1_temp_value,method_mash_temp_1_temp_unit,method_mash_temp_1_duration,method_mash_temp_2_temp_value,method_mash_temp_2_temp_unit,method_mash_temp_2_duration,method_mash_temp_3_temp_value,method_mash_temp_3_temp_unit,method_mash_temp_3_duration,food_pairing_0,food_pairing_1,food_pairing_2,food_pairing_3
0,1,Buzz,A Real Bitter Experience.,2007-09-01,"A light, crisp and bitter IPA brewed with English and American hops. A small batch brewed only once.",https://images.punkapi.com/v2/keg.png,4.5,60.0,1010,1044.0,20.0,10.0,4.4,75.0,20,litres,25,litres,The earthy and floral aromas from the hops can be overpowering. Drop a little Cascade in at the end of the boil to lift the profile with a bit of citrus.,Sam Mason <samjbmason>,64,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Spicy chicken tikka masala,Grilled chicken quesadilla,Caramel toffee cake,0
1,10,Bramling X,Single Hop IPA Series - 2011.,2011-01-01,"Good old Bramling Cross is elegant, refined, assured, (boring) and understated. Understated that is unless you hop the living daylights out of a beer with it. This is Bramling Cross re-invented and re-imagined, and shows just what can be done with English hops if you use enough of them. Poor Bramling Cross normally gets lost in a woeful stream of conformist brown ales made by sleepy cask ale brewers. But not anymore. This beer shows that British hops do have some soul, and is a fruity riot of blackberries, pears, and plums. Reminds me of the bramble, apple and ginger jam my grandmother used to make.",https://images.punkapi.com/v2/10.png,7.5,75.0,1013,1068.0,22.0,11.0,4.4,80.9,20,litres,25,litres,"Getting good Bramling Cross is key. Most English hops are in leaf form (not pelletised), so getting fresh hops close to harvest (September) will give this beer the right amount of dark berry intensity.",Sam Mason <samjbmason>,65,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Warm blackberry pie,Vinegar doused fish and chips,Aromatic korma curry with lemon and garlic naan,0
2,11,Misspent Youth,Milk & Honey Scotch Ale.,2013-04-01,"The brainchild of our small batch brewer, George Woods. A dangerously drinkable milk sugar- infused Scotch Ale.",https://images.punkapi.com/v2/keg.png,7.3,30.0,1020,1079.0,120.0,60.0,4.4,74.7,20,litres,25,litres,"Lots of malt in this one. Mash-in in stages, and spread the pale ale malt throughout the mash to provide stability. If the mash starts to sink, stop, wait a few minutes while mixing, then start again.",Sam Mason <samjbmason>,67,celsius,75,19,celsius,See honey and lactose additions,0,0,0,0,0,0,0,0,0,Roasted garlic and chilli infused camembert cheese,Korean style chicken wings,Chocolate milk shake,0
3,12,Arcade Nation,Seasonal Black IPA.,2015-12-01,"Running the knife-edge between an India Pale Ale and a Stout, this particular style is one we truly love. Black IPAs are a great showcase for the skill of our brew team, balancing so many complex and twisting flavours in the same moment. The citrus, mango and pine from the hops – three of our all-time favourites – play off against the roasty dryness from the malt bill at each and every turn.",https://images.punkapi.com/v2/12.png,5.3,60.0,1012,1052.0,200.0,100.0,4.2,77.0,20,litres,25,litres,Be as accurate as possible when weighing out your malts to ensure you strike the right balance.,Sam Mason <samjbmason>,65,celsius,0,19,celsius,0,0,0,0,0,0,0,0,0,0,King prawn kebabs,Halibut with a mango and tomato salad,Mint chocloate ice cream,0
4,13,Movember,Moustache-Worthy Beer.,2009-11-01,"A deliciously robust, black malted beer with a decadent dark, dry cocoa flavour that provides an enticing backdrop to the Cascade hops.",https://images.punkapi.com/v2/13.png,4.5,50.0,1012,1047.0,140.0,70.0,5.2,74.5,20,litres,25,litres,"If you can’t find really fresh cascade, substitute it for Amarillo or Ahtanum.",Sam Mason <samjbmason>,68,celsius,50,19,celsius,0,0,0,0,0,0,0,0,0,0,Vegetable egg scramble,Margherita pizza,Fresh berry crisp tart,0
5,14,Alpha Dog,Existential Red Ale.,2010-02-01,A fusion of caramel malt flavours and punchy New Zealand hops. A session beer you can get your teeth into.,https://images.punkapi.com/v2/14.png,4.5,42.0,1025,1046.0,62.0,31.0,4.4,72.8,20,litres,25,litres,"Crush the malt as close to brewing time as possible. The fresher the malt, the more intense caramel flavours will be released in the wort.",Sam Mason <samjbmason>,65,celsius,25,22,celsius,0,0,0,0,0,0,0,0,0,0,Pastrami,Swiss and horseradish sandwich,Sharp cheddar cheese and onion/ raisin chutney,Peanut brittle
6,15,Mixtape 8,"An Epic Fusion Of Old Belgian, American New Wave, And Scotch Whisky.",2012-01-01,"This recipe is for the Belgian Tripel base. A blend of two huge oak aged beers – half a hopped up Belgian Tripel, and half a Triple India Pale Ale. Both aged in single grain whisky barrels for two years and blended, each beer brings its own character to the mix. The Belgian Tripel comes loaded with complex spicy, fruity esters, and punchy citrus hop character.",https://images.punkapi.com/v2/15.png,14.5,50.0,1014,1093.0,40.0,20.0,4.4,85.0,20,litres,25,litres,Brew twice as much Belgian Tripel as you were planning on ageing - it's awesome on its own too!,Sam Mason <samjbmason>,65,celsius,40,21,celsius,Barrel aged and blended with Anarchist Alchemist,0,0,0,0,0,0,0,0,0,Coriander & chilli crab cakes,"Goats cheese salad with walnuts, radish and blood orange",Pistachio cake,0
7,16,Libertine Porter,Dry-Hopped Aggressive Porter.,2012-01-01,"An avalanche of cross-continental hop varieties give this porter a complex spicy, resinous and citrusy aroma, with a huge malt bill providing a complex roasty counterpoint. Digging deeper into the flavour draws out cinder toffee, bitter chocolate and hints of woodsmoke.",https://images.punkapi.com/v2/16.png,6.1,45.0,1020,1067.0,219.0,109.5,4.4,70.1,20,litres,25,litres,Mash in at a higher temperature to leave more unfermentable sugars in the wort. This gives the beer a sweeter porter profile.,Sam Mason <samjbmason>,68,celsius,35,18,celsius,0,0,0,0,0,0,0,0,0,0,Blue cheese beef burger,Glazed short ribs,Chocolate cake,0
8,17,AB:06,Imperial Black IPA.,2011-04-01,"Our sixth Abstrakt, this imperial black IPA combined dark malts with a monumental triple dry-hop, using an all-star team of some of our favourite American hops. Roasty and resinous.",https://images.punkapi.com/v2/17.png,11.2,150.0,1013,1098.0,70.0,35.0,0.0,87.0,20,litres,25,litres,Boil down to desired OG (about 17 litres).,Sam Mason <samjbmason>,65,celsius,90,17,celsius,White cane sugar: 150g at middle,0,0,0,0,0,0,0,0,0,Coffee dusted venison loin,Memphis-style beef short ribs,Chocolate orange brownies,0
9,18,Russian Doll – India Pale Ale,Nesting Hop Bomb.,2014-08-01,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each",https://images.punkapi.com/v2/18.png,6.0,70.0,1012,1058.0,25.0,12.5,5.2,79.3,20,litres,25,litres,Create balance through experimentation with the hop amounts and malt backbone.,Sam Mason <samjbmason>,65,celsius,75,19,celsius,0,0,0,0,0,0,0,0,0,0,Spicy chicken skewers,Fish tacos with hot sauce,Lemon pound cake with a ice sugar glaze,0
10,19,Hello My Name Is Mette-Marit,Lingonberry Double IPA.,2013-06-01,"We sent this beer to Norway where it was known as 'Hello, my name is Censored’. You can make up your own mind as to why. This brew was a red berry explosion, with a reisnous bitter edge layered with dry berry tartness.",https://images.punkapi.com/v2/19.png,8.2,70.0,1013,1076.0,0.0,0.0,4.4,83.0,20,litres,25,litres,"Using crushed cranberries will dry out the beer further, drawing out their natural astringent character.",Sam Mason <samjbmason>,66,celsius,90,19,celsius,"Infusion of lingonberries alongside the dry hops, Cranberry Juice: 5.5g at 30mins, Lingonberries: 10g Twist",0,0,0,0,0,0,0,0,0,Fa°rika°l (mutton stew) with a spicy twist,Fenala°r (salted cured lamb),Krumkake with lingonberry jam,0
11,2,Trashy Blonde,You Know You Shouldn't,2008-04-01,"A titillating, neurotic, peroxide punk of a Pale Ale. Combining attitude, style, substance, and a little bit of low self esteem for good measure; what would your mother say? The seductive lure of the sassy passion fruit hop proves too much to resist. All that is even before we get onto the fact that there are no additives, preservatives, pasteurization or strings attached. All wrapped up with the customary BrewDog bite and imaginative twist.",https://images.punkapi.com/v2/2.png,4.1,41.5,1010,1041.7,15.0,15.0,4.4,76.0,20,litres,25,litres,Be careful not to collect too much wort from the mash. Once the sugars are all washed out there are some very unpleasant grainy tasting compounds that can be extracted into the wort.,Sam Mason <samjbmason>,69,celsius,0,18,celsius,0,0,0,0,0,0,0,0,0,0,Fresh crab with lemon,Garlic butter dipping sauce,Goats cheese salad,Creamy lemon bar doused in powdered sugar
12,20,Rabiator,Imperial Wheat Beer,2011-03-01,"Imperial Wheat beer / Weizenbock brewed by a homesick German in leather trousers. Think banana bread, bubble gum and David Hasselhoff.",https://images.punkapi.com/v2/keg.png,10.27,26.0,1014,1092.0,24.0,12.0,4.4,85.0,20,litres,25,litres,If you are struggling to get that authentic head retention increase your mash temperature to about 70°C.,Sam Mason <samjbmason>,64,celsius,60,21,celsius,0,0,0,0,0,0,0,0,0,0,Grilled portabello mushroom burger,Chicken sausages with creamy mash,Caramel and banana meringue pie,0
13,21,Vice Bier,Hoppy Wheat Bier.,2013-04-01,"Our take on the classic German Kristallweizen. A clear German wheat beer, layers of bubblegum and vanilla perfectly balanced with the American and New Zealand hops.",https://images.punkapi.com/v2/keg.png,4.3,25.0,1010,1043.0,30.0,15.0,4.0,81.8,20,litres,25,litres,Ferment at higher or lower temperatures to select the esters that will create clove- like or banana-like flavours.,Sam Mason <samjbmason>,65,celsius,75,22,celsius,0,0,0,0,0,0,0,0,0,0,Citrus salad with balsamic dressing,Lobster,Ginger and orange cookies,0
14,22,Devine Rebel (w/ Mikkeller),Oak-aged Barley Wine.,2008-12-01,"Two of Europe's most experimental, boundary-pushing brewers, BrewDog and Mikkeller, combined forces to produce a rebellious beer that combined their respective talents and brewing skills. The 12.5% Barley Wine fermented well, and the champagne yeast drew it ever closer to 12.5%. The beer was brewed with a single hop variety and was going to be partially aged in oak casks.",https://images.punkapi.com/v2/22.png,12.5,100.0,1030,1093.0,36.0,18.0,4.4,68.0,20,litres,25,litres,Rack off to a secondary fermenter before pitching in some champagne.,Sam Mason <samjbmason>,65,celsius,90,19,celsius,"Part-aged in oak barrels, finished with champagne yeast",0,0,0,0,0,0,0,0,0,Stilton on gingerbread biscuits,Pot roasted artichokes,Lamb chops with caramelised figs,0
15,23,Storm,Islay Whisky Aged IPA.,2007-12-01,"Dark and powerful Islay magic infuses this tropical sensation of an IPA. Using the original Punk IPA as a base, we boosted the ABV to 8% giving it some extra backbone to stand up to the peated smoke imported directly from Islay.",https://images.punkapi.com/v2/23.png,8.0,60.0,1010,1082.0,12.0,6.0,4.4,86.0,20,litres,25,litres,"After primary fermentation is complete, rack off into a secondary fermeter and add the oak chips to replicate the authentic Islay barrel experience.",Sam Mason <samjbmason>,65,celsius,75,19,celsius,Oak chips soaked in Islay whisky 50g,0,0,0,0,0,0,0,0,0,Oysters,Hickory smoked ham,Rocky Road,0
16,24,The End Of History,The World's Strongest Beer.,2011-06-01,"The End of History: The name derives from the famous work of philosopher Francis Fukuyama, this is to beer what democracy is to history. Complexity defined. Floral, grapefruit, caramel and cloves are intensified by boozy heat.",https://images.punkapi.com/v2/24.png,55.0,0.0,1000,1112.0,0.0,0.0,4.4,100.0,20,litres,25,litres,You'll have to get this one all the way down to -70°C. Taxidermy is not optional.,Sam Mason <samjbmason>,65,celsius,75,20,celsius,"Nettles: 25g at end, Juniper: 25g at end",0,0,0,0,0,0,0,0,0,Roasted wood pigeon with black pudding,Pan seared venison fillet with juniper sauce,Apricot coconut cake,0
17,25,Bad Pixie,Spiced Wheat Beer.,2008-10-01,"2008 Prototype beer, a 4.7% wheat ale with crushed juniper berries and citrus peel.",https://images.punkapi.com/v2/25.png,4.7,45.0,1010,1047.0,8.0,4.0,4.4,79.0,20,litres,25,litres,Make sure you have plenty of room in the fermenter. Beers containing wheat can often foam aggressively during fermentation.,Sam Mason <samjbmason>,67,celsius,75,19,celsius,"Crushed juniper berries: 12.5g, Lemon peel: 18.8g",0,0,0,0,0,0,0,0,0,Poached sole fillet with capers,Summer fruit salad,Banana split,0
18,3,Berliner Weisse With Yuzu - B-Sides,Japanese Citrus Berliner Weisse.,2015-11-01,Japanese citrus fruit intensifies the sour nature of this German classic.,https://images.punkapi.com/v2/keg.png,4.2,8.0,1007,1040.0,8.0,4.0,3.2,83.0,20,litres,25,litres,Clean everything twice. All you want is the clean sourness of lactobacillus.,Sam Mason <samjbmason>,60,celsius,10,21,celsius,"Soured naturally using the kettle souring technique, Yuzu fruit: 50g at middle, Yuzu juice: 200ml at FV",65,celsius,30,72,celsius,10,78,celsius,5,Smoked chicken wings,Miso ramen,Yuzu cheesecake,0
19,4,Pilsen Lager,Unleash the Yeast Series.,2013-09-01,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Pilsner yeast ferments with no fruity esters or spicy phenols, although it can add a hint of butterscotch.",https://images.punkapi.com/v2/4.png,6.3,55.0,1012,1060.0,30.0,15.0,4.4,80.0,20,litres,25,litres,Play around with the fermentation temperature to get the best flavour profile from the individual yeasts.,Ali Skinner <AliSkinner>,65,celsius,0,9,celsius,0,0,0,0,0,0,0,0,0,0,Spicy crab cakes,Spicy cucumber and carrot Thai salad,Sweet filled dumplings,0
20,5,Avery Brown Dredge,Bloggers' Imperial Pilsner.,2011-02-01,"An Imperial Pilsner in collaboration with beer writers. Tradition. Homage. Revolution. We wanted to showcase the awesome backbone of the Czech brewing tradition, the noble Saaz hop, and also tip our hats to the modern beers that rock our world, and the people who make them.",https://images.punkapi.com/v2/5.png,7.2,59.0,1027,1069.0,10.0,5.0,4.4,67.0,20,litres,25,litres,Make sure you have a big enough yeast starter to ferment through the OG and lager successfully.,Sam Mason <samjbmason>,66,celsius,70,10,celsius,0,0,0,0,0,0,0,0,0,0,Vietnamese squid salad,Chargrilled corn on the cob with paprika butter,Strawberry and rhubarb pie,0
21,6,Electric India,Vibrant Hoppy Saison.,2013-05-01,"Re-brewed as a spring seasonal, this beer – which appeared originally as an Equity Punk shareholder creation – retains its trademark spicy, fruity edge. A perfect blend of Belgian Saison and US IPA, crushed peppercorns and heather honey are also added to produce a genuinely unique beer.",https://images.punkapi.com/v2/6.png,5.2,38.0,1005,1045.0,15.0,7.5,4.4,88.9,20,litres,25,litres,Source some really good heather honey to get the right spicy esters in the beer.,Sam Mason <samjbmason>,65,celsius,75,22,celsius,"Honey: 62.5g at End (WP), Coriander Seeds: 8.5g at 45mins",0,0,0,0,0,0,0,0,0,Mussels with a garlic and herb sauce,Crab melt sandwich,Shortbread cookies,0
22,7,AB:12,Imperial Black Belgian Ale.,2012-07-01,"An Imperial Black Belgian Ale aged in old Invergordon Scotch whisky barrels with mountains of raspberries, tayberries and blackberries in each cask. Decadent but light and dry, this beer would make a fantastic base for ageing on pretty much any dark fruit - we used raspberries, tayberries and blackberries beause they were local.",https://images.punkapi.com/v2/7.png,11.2,35.0,1017,1108.0,80.0,40.0,5.3,84.0,20,litres,25,litres,Don't worry too much about controlling the temperature with the Belgian yeast strain - just make sure it doesn't rise above 30°C!,Sam Mason <samjbmason>,69,celsius,105,21,celsius,"Aged in whisky barrels with raspberries, tayberries and blackberries",0,0,0,0,0,0,0,0,0,Tandoori lamb with pomegranate,Beef Wellington with a red wine jus,Raspberry chocolate torte,0
23,8,Fake Lager,Bohemian Pilsner.,2013-03-01,"Fake is the new black. Fake is where it is at. Fake Art, fake brands, fake breasts, and fake lager. We want to play our part in the ugly fallout from the Lager Dream. Say hello to Fake Lager – a zesty, floral 21st century faux masterpiece with added BrewDog bitterness.",https://images.punkapi.com/v2/8.png,4.7,40.0,1010,1046.0,12.0,6.0,4.4,78.0,20,litres,25,litres,Once the primary fermentation is complete get this beer as cold as you can and let it mature for as long as you've got.,Sam Mason <samjbmason>,65,celsius,75,10,celsius,0,0,0,0,0,0,0,0,0,0,Fried crab cakes with avocado salsa,Spicy shredded pork roll with hot dipping sauce,Key lime pie,0
24,9,AB:07,Whisky Cask-Aged Scotch Ale.,2010-03-01,"Whisky cask-aged imperial scotch ale. Beer perfect for when the rain is coming sideways. Liquorice, plum and raisin temper the warming alcohol, producing a beer capable of holding back the Scottish chill.",https://images.punkapi.com/v2/9.png,12.5,30.0,1020,1106.0,84.0,42.0,5.6,83.0,20,litres,25,litres,Authentic heather honey adds a beautiful floral top note that is unachievable any other way.,Sam Mason <samjbmason>,65,celsius,105,11,celsius,"Scottish Heather Honey: 62.5g at middle, Add honey during the boil. After fermentation, age in a Scottish whisky cask",0,0,0,0,0,0,0,0,0,Kedgeree,Scotch broth with sourdough bread,Clootie dumpling,0
